,frame,dominant_emotion,emotion_scores
65,66,happy,"{'angry': np.float32(0.11820406), 'disgust': np.float32(3.5750873e-09), 'fear': np.float32(0.13686167), 'happy': np.float32(99.73606), 'sad': np.float32(3.4906796e-05), 'surprise': np.float32(0.007528178), 'neutral': np.float32(0.0013091883)}"
66,67,happy,"{'angry': np.float32(0.15048619), 'disgust': np.float32(3.1996805e-09), 'fear': np.float32(0.065633394), 'happy': np.float32(99.78178), 'sad': np.float32(3.336955e-05), 'surprise': np.float32(0.001234266), 'neutral': np.float32(0.00083525764)}"
67,68,happy,"{'angry': np.float32(0.16013445), 'disgust': np.float32(4.4359483e-10), 'fear': np.float32(0.026469978), 'happy': np.float32(99.81245), 'sad': np.float32(2.1669794e-05), 'surprise': np.float32(0.00051864225), 'neutral': np.float32(0.0004141843)}"
68,69,neutral,"{'angry': np.float32(0.92548376), 'disgust': np.float32(0.00047548857), 'fear': np.float32(17.221605), 'happy': np.float32(2.9323044), 'sad': np.float32(16.195335), 'surprise': np.float32(0.08375346), 'neutral': np.float32(62.641045)}"
69,70,happy,"{'angry': np.float32(0.2297894), 'disgust': np.float32(8.4021515e-08), 'fear': np.float32(0.16105577), 'happy': np.float32(99.58759), 'sad': np.float32(0.00025205285), 'surprise': np.float32(0.019940235), 'neutral': np.float32(0.001375219)}"
70,71,neutral,"{'angry': np.float32(3.063403), 'disgust': np.float32(0.010371308), 'fear': np.float32(26.575094), 'happy': np.float32(14.449633), 'sad': np.float32(18.831297), 'surprise': np.float32(0.34223163), 'neutral': np.float32(36.72797)}"
71,72,happy,"{'angry': np.float32(0.5082106), 'disgust': np.float32(3.4639584e-07), 'fear': np.float32(0.4784694), 'happy': np.float32(98.94475), 'sad': np.float32(0.00037678433), 'surprise': np.float32(0.06709186), 'neutral': np.float32(0.0011035131)}"
72,73,neutral,"{'angry': np.float32(1.226958), 'disgust': np.float32(0.0003579932), 'fear': np.float32(10.864779), 'happy': np.float32(1.6309049), 'sad': np.float32(9.255855), 'surprise': np.float32(0.046619907), 'neutral': np.float32(76.974525)}"
73,74,happy,"{'angry': np.float32(8.500718), 'disgust': np.float32(9.732786e-07), 'fear': np.float32(0.09824255), 'happy': np.float32(91.38086), 'sad': np.float32(0.000854177), 'surprise': np.float32(0.016846942), 'neutral': np.float32(0.0024845563)}"
74,75,neutral,"{'angry': np.float32(0.2556425), 'disgust': np.float32(1.2148869e-05), 'fear': np.float32(0.30655962), 'happy': np.float32(0.22330193), 'sad': np.float32(3.0187035), 'surprise': np.float32(0.008735384), 'neutral': np.float32(96.18704)}"
75,76,neutral,"{'angry': np.float32(0.20705774), 'disgust': np.float32(4.1934425e-07), 'fear': np.float32(0.13482174), 'happy': np.float32(0.023567894), 'sad': np.float32(2.155127), 'surprise': np.float32(0.004038341), 'neutral': np.float32(97.47539)}"
76,77,neutral,"{'angry': np.float32(0.49837026), 'disgust': np.float32(2.3493947e-06), 'fear': np.float32(0.33843338), 'happy': np.float32(0.020015681), 'sad': np.float32(3.1064014), 'surprise': np.float32(0.012378552), 'neutral': np.float32(96.0244)}"
77,78,neutral,"{'angry': np.float32(0.74416345), 'disgust': np.float32(1.0708649e-06), 'fear': np.float32(0.47937813), 'happy': np.float32(0.05639254), 'sad': np.float32(8.618338), 'surprise': np.float32(0.008022176), 'neutral': np.float32(90.093704)}"
78,79,neutral,"{'angry': np.float32(0.53692436), 'disgust': np.float32(2.5860902e-06), 'fear': np.float32(1.0142044), 'happy': np.float32(1.5864038), 'sad': np.float32(18.851574), 'surprise': np.float32(0.103195675), 'neutral': np.float32(77.90769)}"
79,80,fear,"{'angry': np.float32(0.00019529808), 'disgust': np.float32(1.5557935e-08), 'fear': np.float32(89.35561), 'happy': np.float32(0.93804175), 'sad': np.float32(0.7257877), 'surprise': np.float32(0.008910311), 'neutral': np.float32(8.971454)}"
80,81,fear,"{'angry': np.float32(0.003636109), 'disgust': np.float32(1.6774749e-07), 'fear': np.float32(73.914505), 'happy': np.float32(0.47107008), 'sad': np.float32(3.655451), 'surprise': np.float32(7.561271e-05), 'neutral': np.float32(21.955263)}"
81,82,happy,"{'angry': np.float32(0.0020541062), 'disgust': np.float32(3.820883e-05), 'fear': np.float32(1.0104246), 'happy': np.float32(63.38), 'sad': np.float32(32.1114), 'surprise': np.float32(0.009062744), 'neutral': np.float32(3.4870222)}"
82,83,happy,"{'angry': np.float32(0.28843737), 'disgust': np.float32(1.6039495e-09), 'fear': np.float32(0.015724283), 'happy': np.float32(99.68233), 'sad': np.float32(0.0002133096), 'surprise': np.float32(0.0052027632), 'neutral': np.float32(0.008096391)}"
83,84,happy,"{'angry': np.float32(0.065750286), 'disgust': np.float32(5.7204796e-10), 'fear': np.float32(0.012537907), 'happy': np.float32(99.913635), 'sad': np.float32(0.00010004109), 'surprise': np.float32(0.0033123435), 'neutral': np.float32(0.004651)}"
84,85,surprise,"{'angry': np.float32(3.3436465), 'disgust': np.float32(3.701909e-05), 'fear': np.float32(22.060305), 'happy': np.float32(0.24191208), 'sad': np.float32(5.808031), 'surprise': np.float32(65.92807), 'neutral': np.float32(2.617999)}"
85,86,neutral,"{'angry': np.float32(0.87770706), 'disgust': np.float32(1.6695954e-05), 'fear': np.float32(2.2727244), 'happy': np.float32(0.52055955), 'sad': np.float32(20.287518), 'surprise': np.float32(0.22085461), 'neutral': np.float32(75.82062)}"
86,87,neutral,"{'angry': np.float32(0.34337196), 'disgust': np.float32(1.8987968e-05), 'fear': np.float32(0.57828695), 'happy': np.float32(0.64164853), 'sad': np.float32(8.724288), 'surprise': np.float32(0.011980802), 'neutral': np.float32(89.70041)}"
87,88,neutral,"{'angry': np.float32(0.11317885), 'disgust': np.float32(8.692152e-06), 'fear': np.float32(0.91987747), 'happy': np.float32(1.4298828), 'sad': np.float32(3.7389324), 'surprise': np.float32(0.023619933), 'neutral': np.float32(93.7745)}"
88,89,neutral,"{'angry': np.float32(0.20158991), 'disgust': np.float32(3.7250735e-05), 'fear': np.float32(0.65568334), 'happy': np.float32(0.9524232), 'sad': np.float32(0.73033357), 'surprise': np.float32(0.029126965), 'neutral': np.float32(97.43081)}"
89,90,neutral,"{'angry': np.float32(0.19719656), 'disgust': np.float32(9.449308e-05), 'fear': np.float32(0.9984873), 'happy': np.float32(1.5961456), 'sad': np.float32(1.3912002), 'surprise': np.float32(0.04758671), 'neutral': np.float32(95.769295)}"
90,91,neutral,"{'angry': np.float32(0.14920975), 'disgust': np.float32(4.8156908e-05), 'fear': np.float32(2.386528), 'happy': np.float32(2.1210852), 'sad': np.float32(1.273106), 'surprise': np.float32(0.011384048), 'neutral': np.float32(94.05864)}"
91,92,neutral,"{'angry': np.float32(0.017255982), 'disgust': np.float32(3.3214684e-07), 'fear': np.float32(0.054058254), 'happy': np.float32(0.20347075), 'sad': np.float32(0.38168803), 'surprise': np.float32(0.0023687445), 'neutral': np.float32(99.34116)}"
92,93,neutral,"{'angry': np.float32(0.62338436), 'disgust': np.float32(0.00015989167), 'fear': np.float32(0.6387119), 'happy': np.float32(0.3619949), 'sad': np.float32(2.5234756), 'surprise': np.float32(0.029121926), 'neutral': np.float32(95.82316)}"
93,94,neutral,"{'angry': np.float32(0.95720625), 'disgust': np.float32(4.9768787e-05), 'fear': np.float32(1.4258869), 'happy': np.float32(0.19250877), 'sad': np.float32(4.346347), 'surprise': np.float32(0.01763209), 'neutral': np.float32(93.06037)}"
94,95,neutral,"{'angry': np.float32(2.4923322), 'disgust': np.float32(0.00015228323), 'fear': np.float32(4.54996), 'happy': np.float32(0.16232784), 'sad': np.float32(29.759008), 'surprise': np.float32(0.0055097137), 'neutral': np.float32(63.030712)}"
95,96,happy,"{'angry': np.float32(0.038851514), 'disgust': np.float32(5.2449383e-09), 'fear': np.float32(0.481699), 'happy': np.float32(99.3347), 'sad': np.float32(1.9365787e-05), 'surprise': np.float32(0.14354576), 'neutral': np.float32(0.0011751255)}"
96,97,sad,"{'angry': np.float32(7.1073914), 'disgust': np.float32(0.00024364551), 'fear': np.float32(9.933607), 'happy': np.float32(0.16484253), 'sad': np.float32(43.24053), 'surprise': np.float32(0.022388637), 'neutral': np.float32(39.531002)}"
97,98,sad,"{'angry': np.float32(4.0054293), 'disgust': np.float32(0.00012045626), 'fear': np.float32(5.08687), 'happy': np.float32(0.07419882), 'sad': np.float32(59.947895), 'surprise': np.float32(0.004378968), 'neutral': np.float32(30.8811)}"
98,99,neutral,"{'angry': np.float32(3.00646), 'disgust': np.float32(3.2597534e-05), 'fear': np.float32(5.113094), 'happy': np.float32(0.12304534), 'sad': np.float32(41.32804), 'surprise': np.float32(0.011859009), 'neutral': np.float32(50.417473)}"
99,100,neutral,"{'angry': np.float32(2.2118516), 'disgust': np.float32(0.00036006648), 'fear': np.float32(9.23968), 'happy': np.float32(0.59455526), 'sad': np.float32(20.958136), 'surprise': np.float32(0.01723374), 'neutral': np.float32(66.97818)}"
100,101,neutral,"{'angry': np.float32(1.3357269), 'disgust': np.float32(7.758537e-05), 'fear': np.float32(6.45589), 'happy': np.float32(0.6466422), 'sad': np.float32(7.4989715), 'surprise': np.float32(0.018105354), 'neutral': np.float32(84.044586)}"
101,102,happy,"{'angry': np.float32(0.0026363863), 'disgust': np.float32(1.2176441e-12), 'fear': np.float32(0.13952346), 'happy': np.float32(99.855804), 'sad': np.float32(3.433029e-06), 'surprise': np.float32(0.0013648584), 'neutral': np.float32(0.00066513056)}"
102,103,happy,"{'angry': np.float32(8.880178), 'disgust': np.float32(1.0928727e-06), 'fear': np.float32(0.32260385), 'happy': np.float32(90.79004), 'sad': np.float32(0.0006802132), 'surprise': np.float32(0.0055676587), 'neutral': np.float32(0.0009313032)}"
103,104,happy,"{'angry': np.float32(6.440863), 'disgust': np.float32(8.577755e-07), 'fear': np.float32(0.06297909), 'happy': np.float32(93.48561), 'sad': np.float32(0.003143853), 'surprise': np.float32(0.0006754659), 'neutral': np.float32(0.006731287)}"
104,105,neutral,"{'angry': np.float32(1.6950002), 'disgust': np.float32(3.3353812e-05), 'fear': np.float32(21.314625), 'happy': np.float32(5.682999), 'sad': np.float32(3.0860026), 'surprise': np.float32(0.5912635), 'neutral': np.float32(67.63007)}"
105,106,happy,"{'angry': np.float32(2.0289433), 'disgust': np.float32(3.4131767e-07), 'fear': np.float32(0.018014276), 'happy': np.float32(97.932014), 'sad': np.float32(0.0022501624), 'surprise': np.float32(1.9632047e-05), 'neutral': np.float32(0.018755063)}"
106,107,angry,"{'angry': np.float32(49.43278), 'disgust': np.float32(0.003951433), 'fear': np.float32(36.468086), 'happy': np.float32(0.9492621), 'sad': np.float32(6.985792), 'surprise': np.float32(4.426088), 'neutral': np.float32(1.7340246)}"
107,108,happy,"{'angry': np.float32(0.07943201), 'disgust': np.float32(4.1748766e-07), 'fear': np.float32(0.0010880374), 'happy': np.float32(99.89599), 'sad': np.float32(0.0055516236), 'surprise': np.float32(1.1623249e-05), 'neutral': np.float32(0.01792777)}"
